lsgd_id,lsgd_name,lsgd_type,district,elevation,slope,rainfall_7day_mm,event_year_x,dist_to_water_m,vegetation,builtup,fatalities,no_of_landslides,agri_crop_loss_ha,fully_damaged_houses,severely_damaged_houses,roads_damaged_km,bridges_damaged,severity_score,flood_risk_level,landslide_risk_level,flood_occurred,landslide_occurred,event_year_y,flood_area_pct,landslide_count_real,soil_texture_class,flow_accumulation,flood_occurred_real,landslide_occurred_real
858,Mayyanad Grama Panchayat,gram_panchayat,Kollam,21.21191359743358,2.8321998695327903,217.8,2018,1254.8379202189385,0.7613585532621896,0.1319631431372524,5.0,2.0,869.73,95.0,1338.0,340.0,48.0,0.0980183986355041,Moderate,Moderate,0.0,0.0,2018.0,0.0329438580149109,0.0,4.0,117.49243343095584,0,0
859,Paravoor,municipality,Kollam,19.3958648642584,3.1470219353227864,267.6,2018,422.327683907466,0.6646460365408484,0.0610428074876568,5.0,2.0,869.73,95.0,1338.0,340.0,48.0,0.0980183986355041,Moderate,Moderate,0.0,0.0,2018.0,0.0702127651715371,0.0,4.0,112.6967963900099,1,0
860,Poothakkulam Gramapanchayath,gram_panchayat,Kollam,38.87112937162049,3.352314307920238,267.6,2018,1405.5923368812778,0.839728948234624,0.0371721331991896,5.0,2.0,869.73,95.0,1338.0,340.0,48.0,0.0980183986355041,Moderate,Moderate,0.0,0.0,2018.0,0.0481468241704061,0.0,6.0,18.32557390616005,0,0
861,Chirakkara Gramapanchayath,gram_panchayat,Kollam,32.90027157433737,4.877706662456278,267.6,2018,3047.288089129519,0.8501319848551375,0.0235032171896397,5.0,2.0,869.73,95.0,1338.0,340.0,48.0,0.0980183986355041,Moderate,Moderate,0.0,0.0,2018.0,0.09499280672244,0.0,5.999999999999998,11.894695850997952,1,0
862,Chathanoor Grampanchayat,gram_panchayat,Kollam,27.933108646280157,4.3508287672759645,279.8,2018,2023.9511916971512,0.8806545252265748,0.057763710733451,5.0,2.0,869.73,95.0,1338.0,340.0,48.0,0.0980183986355041,Moderate,Moderate,0.0,0.0,2018.0,0.0162789428174648,0.0,6.000000000000002,282.01340162218787,0,0
863,Kalluvaathukkal Grama Panchayath,gram_panchayat,Kollam,49.62907350586665,6.042029811244273,267.6,2018,4065.936087797657,0.9514325121227766,0.0346911812623662,5.0,2.0,869.73,95.0,1338.0,340.0,48.0,0.0980183986355041,Moderate,Moderate,0.0,0.0,2018.0,0.0026158468495702,0.0,6.000000000000002,36.32507022920125,0,0
864,Kulakkada Gramapanchayath,gram_panchayat,Kollam,36.42976302319244,6.141417546341998,363.9,2018,2165.9291991709742,0.9253743845867344,0.0233433885631404,5.0,2.0,869.73,95.0,1338.0,340.0,48.0,0.0980183986355041,Moderate,Moderate,0.0,0.0,2018.0,0.0104115786805046,0.0,6.000000000000002,461.4789717003276,0,0
865,Mylom Gramapanchayath,gram_panchayat,Kollam,44.994699717470255,7.6044943150293935,363.9,2018,5229.448614523338,0.9481833842492722,0.0271965289631623,5.0,2.0,869.73,95.0,1338.0,340.0,48.0,0.0980183986355041,Moderate,Moderate,0.0,0.0,2018.0,0.0024192290194302,0.0,6.000000000000004,90.06934247618689,0,0
866,Neduvathoor Grama Panchayat,gram_panchayat,Kollam,57.15485524932602,6.888727227876118,363.9,2018,5329.644081331233,0.9571128910955846,0.0254174159598525,5.0,2.0,869.73,95.0,1338.0,340.0,48.0,0.0980183986355041,Moderate,Moderate,0.0,0.0,2018.0,0.0011978558380498,0.0,5.999999999999997,6.188896155802632,0,0
867,Pavithreswaram Gramapanchayath,gram_panchayat,Kollam,27.17791530816868,5.869311067894582,277.9,2018,1407.3700444472054,0.9052153996712492,0.0190433226732826,5.0,2.0,869.73,95.0,1338.0,340.0,48.0,0.0980183986355041,Moderate,Moderate,0.0,0.0,2018.0,0.0182252467372901,0.0,6.000000000000004,242.4411880479043,0,0
868,Ezhukone Gramapanchayath,gram_panchayat,Kollam,55.94956147514576,6.660123849019261,282.3,2018,4683.1657132751725,0.9455310211909672,0.0410552064280284,5.0,2.0,869.73,95.0,1338.0,340.0,48.0,0.0980183986355041,Moderate,Moderate,0.0,0.0,2018.0,0.0010541065360342,0.0,6.000000000000001,4.079881556918811,0,0
869,Kottarakara,municipality,Kollam,55.14999791338748,7.246075108433033,346.8,2018,8940.6859821955,0.8653355099611919,0.1137884638883918,5.0,2.0,869.73,95.0,1338.0,340.0,48.0,0.0980183986355041,Moderate,Moderate,0.0,0.0,2018.0,0.0012071658310528,0.0,5.999999999999998,7.258924624275405,0,0
870,Melila Gramapanchayath,gram_panchayat,Kollam,62.07477237621227,7.261835596871506,383.3,2018,10094.736735186876,0.9500767357672862,0.0342328663051479,5.0,2.0,869.73,95.0,1338.0,340.0,48.0,0.0980183986355041,Moderate,Moderate,0.0,0.0,2018.0,0.0011532427886993,0.0,6.0,13.059950134839466,0,0
871,Vettikavala Gramapanchayath,gram_panchayat,Kollam,68.7122588473645,8.406199875587705,319.3,2018,12994.238908585805,0.969613305474718,0.0177371610459896,5.0,2.0,869.73,95.0,1338.0,340.0,48.0,0.0980183986355041,Moderate,Moderate,0.0,0.0,2018.0,0.0009044424838686,0.0,6.000000000000004,6.944600489341763,0,0
