No,District,NRSC,GSI,New,Type_of_sl,Length,Width,Area,Building_I,Road_impac,Impact_Agr,LU_2010,LU_2018,Specific_r,Remarks,longitude,latitude,Reclass_Sl,RASTERVALU
53,Ernakulam,Y,N,N,DF,0,0,3932.52953400000,0,N,N,FNO,FNO,,Quarry nearby,76.51491200000,10.21408800000,4,24.85475349430
54,Ernakulam,Y,N,N,DF,0,0,6233.95000000000,0,N,N,FNO,FNO,,Quarry nearby,76.51219900000,10.21243400000,4,24.92834091190
55,Ernakulam,Y,Y,N,DF,0,0,2122.33500000000,0,C,N,ROA,ROA,2,"Slided material blocked the road for few hours during the slide, NH-49 at risk due to this slide, slide induced by steep slope cutting",76.78227000000,10.06667000000,6,31.88146018980
56,Ernakulam,N,Y,N,DF,0,0,0.00000000000,0,N,N,ROA,ROA,,"Widening of  seasonal 1st order stream after the slide, unstable debris material present at source and slide course",76.77152000000,10.04948000000,5,25.08466529850
57,Ernakulam,Y,N,N,DF,0,0,1500.00000000000,0,N,SPL,SPL,SPL,,,76.87121400000,10.11395200000,7,35.08771896360
58,Ernakulam,Y,N,N,DF,0,0,2434.57000000000,0,N,SPL,SPL,SPL,,,76.96181400000,10.18255700000,5,26.23193359380
59,Ernakulam,Y,N,N,DF,0,0,9096.22000000000,0,N,SPL,SPL,SPL,,,76.71869700000,10.11829800000,3,19.74577140810
60,Ernakulam,Y,N,N,DF,0,0,656.95400000000,0,N,SPL,SPL,SPL,,,76.89610400000,10.25510200000,4,22.75766944890
61,Ernakulam,Y,N,N,DF,0,0,1381.31000000000,0,N,N,BRF,BRF,,,76.85378500000,10.27051200000,6,30.12685585020
62,Ernakulam,Y,N,N,DF,0,0,1156.41000000000,0,N,N,BRF,BRF,,,76.85200200000,10.26871400000,4,23.42603302000
63,Ernakulam,Y,N,N,DF,0,0,1167.47000000000,0,N,N,BRF,BRF,,,76.82828500000,10.01819100000,4,24.74287796020
64,Ernakulam,Y,N,N,DF,0,0,930.18600000000,0,N,N,FDN,FDN,,,76.52806600000,10.27401100000,6,32.04952239990
65,Ernakulam,Y,N,N,DF,0,0,17549.20000000000,0,N,N,FDN,FDN,,,76.53728100000,10.27020600000,6,33.99890899660
66,Ernakulam,Y,N,N,DF,0,0,1932.97000000000,0,N,N,FDN,FDN,,,76.53724200000,10.27102400000,3,19.13306999210
67,Ernakulam,Y,N,N,DF,0,0,3247.34000000000,0,N,N,FDN,FDN,,,76.54032700000,10.26973500000,5,27.21357345580
68,Ernakulam,Y,N,N,DF,0,0,859.65700000000,0,N,N,FDN,FDN,,,76.55251200000,10.27684700000,6,30.84262657170
69,Ernakulam,Y,N,N,DF,0,0,6625.52000000000,0,N,N,FDN,FDN,,,76.55210500000,10.26880300000,5,28.40841674800
70,Ernakulam,Y,N,N,DF,0,0,8208.18000000000,0,N,N,FDN,FDN,,,76.56702800000,10.28088100000,3,17.43803405760
71,Ernakulam,Y,N,N,DF,0,0,1772.94000000000,0,N,N,FDN,FDN,,,76.57180100000,10.27893400000,5,27.89674758910
72,Ernakulam,Y,N,N,DF,0,0,773.97100000000,0,N,N,FDN,FDN,,,76.56413200000,10.28227800000,4,23.16893005370
73,Ernakulam,Y,N,N,DF,0,0,1928.63000000000,0,N,N,FDN,FDN,,,76.59740600000,10.27437600000,2,11.29391288760
74,Ernakulam,Y,N,N,DF,0,0,1213.71000000000,0,N,N,FDN,FDN,,,76.60416500000,10.27046400000,6,30.30134010310
75,Ernakulam,Y,N,N,DF,0,0,1795.62000000000,0,N,N,FDN,FDN,,,76.61753700000,10.27560300000,5,28.46353721620
76,Ernakulam,Y,N,N,DF,0,0,1648.75000000000,0,N,N,FDN,FDN,,,76.62229800000,10.27013000000,5,29.65108299260
77,Ernakulam,Y,N,N,DF,0,0,922.31100000000,0,N,N,FDN,FDN,,,76.61968700000,10.25979000000,5,29.50318527220
78,Ernakulam,Y,N,N,DF,0,0,435.67400000000,0,N,N,FDN,FDN,,,76.61927400000,10.26128700000,7,36.87523651120
79,Ernakulam,Y,N,N,DF,0,0,3755.99000000000,0,N,N,FDN,FDN,,,76.61892500000,10.26093700000,7,36.10631179810
80,Ernakulam,Y,N,N,DF,0,0,3120.53000000000,0,N,N,FDN,FDN,,,76.60936100000,10.25770100000,4,22.91533088680
81,Ernakulam,Y,N,N,DF,0,0,754.20300000000,0,N,N,FDN,FDN,,,76.78562600000,10.26262200000,2,10.01070880890
82,Ernakulam,Y,N,N,DF,0,0,374.41700000000,0,N,N,FDN,FDN,,,76.78617400000,10.26304000000,2,12.54126644130
83,Ernakulam,Y,N,N,DF,0,0,619.36000000000,0,N,N,FDN,FDN,,,76.80097500000,10.27791700000,1,6.36162900925
84,Ernakulam,Y,N,N,DF,0,0,679.31800000000,0,N,N,FDN,FDN,,,76.90918800000,10.23006900000,3,19.70761680600
85,Ernakulam,Y,N,N,DF,0,0,629.14900000000,0,N,N,FDN,FDN,,,76.88537000000,10.20685400000,2,14.07110404970
86,Ernakulam,Y,N,N,DF,0,0,629.14900000000,0,N,N,FDN,FDN,,,76.88562100000,10.20634700000,2,13.39673900600
87,Ernakulam,Y,N,N,DF,0,0,542.22000000000,0,N,N,FDN,FDN,,,76.89184400000,10.20584900000,3,16.10256385800
88,Ernakulam,Y,N,N,SS,0,0,1129.03000000000,0,N,N,FDN,FDN,,,76.56463500000,10.28044700000,3,19.26407051090
89,Ernakulam,Y,N,N,SS,0,0,405.01000000000,0,N,N,FDN,FDN,,,76.79011900000,10.26605500000,4,20.97957229610
90,Ernakulam,Y,N,N,DF,0,0,3021.57000000000,0,N,N,FNO,FNO,,,76.63557200000,10.27106500000,5,28.14685440060
91,Ernakulam,Y,N,N,DF,0,0,1025.17000000000,0,N,N,FNO,FNO,,,76.82154400000,10.27996300000,8,42.94359970090
92,Ernakulam,Y,N,N,DF,0,0,398.35200000000,0,N,N,FNO,FNO,,,76.82014200000,10.28031000000,7,39.40441513060
93,Ernakulam,Y,N,N,DF,0,0,628.98900000000,0,N,N,FNO,FNO,,,76.81983000000,10.27949100000,6,32.51678085330
94,Ernakulam,Y,N,N,DF,0,0,863.99800000000,0,N,N,FNO,FNO,,,76.83675000000,10.28123500000,5,29.62801933290
95,Ernakulam,Y,N,N,DF,0,0,2452.12000000000,0,N,N,FNO,FNO,,,76.84955100000,10.27455400000,5,29.90140342710
96,Ernakulam,Y,N,N,DF,0,0,559.36400000000,0,N,N,FNO,FNO,,,76.85073100000,10.27254000000,6,33.83285903930
97,Ernakulam,Y,N,N,DF,0,0,2190.93000000000,0,N,N,GNA,GNA,,,76.66501100000,10.27350100000,4,20.63563728330
98,Ernakulam,Y,N,N,DF,0,0,2107.58000000000,0,N,N,GNA,GNA,,,76.66548800000,10.27343300000,5,28.10754203800
99,Ernakulam,Y,N,N,DF,0,0,1654.30000000000,0,N,N,GNA,GNA,,,76.66552600000,10.27260200000,5,26.74690818790
100,Ernakulam,Y,N,N,DF,0,0,926.68600000000,0,N,N,GNA,GNA,,,76.66533900000,10.27151400000,5,28.98887062070
101,Ernakulam,Y,N,N,DF,0,0,2787.28000000000,0,N,N,GNA,GNA,,,76.66517700000,10.27159900000,6,31.92168426510
102,Ernakulam,Y,N,N,DF,0,0,822.73400000000,0,N,N,SNA,SNA,,,76.85855300000,10.27373900000,6,31.65619087220
103,Ernakulam,Y,N,N,DF,0,0,851.56600000000,0,N,N,SNA,SNA,,,76.85577400000,10.27421100000,7,35.75092697140
104,Ernakulam,Y,N,N,DF,0,0,786.14500000000,0,N,N,SNA,SNA,,,76.86024000000,10.26671600000,8,40.00220108030
105,Ernakulam,Y,N,N,SS,0,0,2875.00000000000,0,N,N,SNA,SNA,,,76.90806300000,10.23584500000,3,17.47154998780
106,Ernakulam,Y,N,N,DF,0,0,1329.53000000000,0,N,SPL,SPL,SPL,,,76.51806000000,10.27827800000,4,24.82556915280
107,Ernakulam,Y,N,N,DF,0,0,2273.19000000000,0,N,SPL,SPL,SPL,,,76.51756000000,10.27915800000,3,17.08399963380
108,Ernakulam,Y,N,N,DF,0,0,1230.96000000000,0,N,SPL,SPL,SPL,,,76.51848700000,10.27867800000,4,24.67537689210
